tick,gate,pitch_control,energy_control,airflow_control,tension_control,rms,peak,f0_hz,control_vowel_a,control_vowel_i,control_vowel_u,control_vowel_e,control_vowel_o,control_vowel_y,control_consonant_m,control_consonant_n,control_consonant_p,control_consonant_b,control_consonant_t,control_consonant_d,control_consonant_k,control_consonant_g,control_consonant_f,control_consonant_s,control_consonant_sh,control_consonant_h,control_consonant_r,control_consonant_y,control_consonant_w,organ_activity_0,organ_activity_1,organ_activity_2,organ_activity_3,organ_activity_4,organ_activity_5,organ_activity_6,organ_activity_7,organ_activity_8,organ_activity_9,organ_activity_10,organ_activity_11,organ_activity_12,organ_activity_13,organ_activity_14,organ_activity_15,organ_activity_16,organ_activity_17,organ_activity_18,organ_activity_19,organ_activity_20,organ_activity_21,organ_activity_22,organ_activity_23,organ_activity_24,organ_activity_25,spectrum_0,spectrum_1,spectrum_2,spectrum_3,spectrum_4,spectrum_5,spectrum_6,spectrum_7,spectrum_change_0,spectrum_change_1,spectrum_change_2,spectrum_change_3,spectrum_change_4,spectrum_change_5,spectrum_change_6,spectrum_change_7
17,1.0,0.58,0.68,0.18,0.68,0.16009688379848647,0.4012439250946045,245.97794584240305,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6707119746002811,0.5805127234477088,0.6729666422262996,0.17999385893706174,0.6799938589370618,0.9714344992154497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006294343104602535,0.020938729005219755,0.012152977151834731,0.03500274247344222,0.002226873373682522,0.0018935122693686905,5.3423964658876494e-05,6.866734000430542e-05,0.0001002338793276899,0.000582907315086232,0.0003487588927339729,6.345154137293862e-05,2.456118885926003e-05,6.558326832812027e-05,4.591870625454533e-06,7.254132101293414e-06
18,1.0,0.58,0.68,0.18,0.68,0.15568433842184795,0.36125263571739197,245.90185398055175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6747541119594953,0.5802895442224995,0.6760281354066273,0.17999653203047036,0.6799965320304704,0.9816843611112659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005939408330206658,0.022188879056123545,0.01318880309115431,0.03499698184401398,0.0023592535374063655,0.002214465808241584,6.534239060197944e-05,7.099159817116788e-05,3.5493477439587696e-05,0.00125015005090379,0.0010358259393195794,5.7606294282391834e-06,0.0001323801637238436,0.0003209535388728935,1.1918425943102949e-05,2.3242581668624676e-06
19,1.0,0.58,0.68,0.18,0.68,0.1925910554435708,0.4203313887119293,245.8588939273287,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6770373669997186,0.5801635108695681,0.6777570160859615,0.17999804157476004,0.6799980415747601,0.9882563715429786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005380314637505196,0.02614439538240776,0.016363902454767033,0.041824989900349684,0.0027999197614078535,0.00130387217232537,5.62584854389706e-05,6.729166835306322e-05,5.590936927014629e-05,0.003955516326284214,0.003175099363612722,0.0068280080563357035,0.0004406662240014881,0.0009105936359162139,9.083905163008844e-06,3.6999298181046656e-06
20,1.0,0.58,0.68,0.18,0.68,0.17539825751124644,0.4183952212333679,245.8346369227676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6783269031305581,0.5800923375511903,0.6787333463363706,0.1799988940417764,0.6799988940417764,0.99247021574435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006905920361187661,0.026815467121405007,0.014577046189407453,0.03688823764171785,0.002649296188021552,0.001234971585516783,5.398006556140994e-05,6.141715144620361e-05,0.0001525605723682466,0.0006710717389972476,0.0017868562653595797,0.004936752258631834,0.00015062357338630145,6.890058680858718e-05,2.278419877560659e-06,5.874516906859606e-06
21,1.0,0.58,0.68,0.18,0.68,0.15305382867911355,0.42893415689468384,245.8209396100897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6790551612553417,0.580052144688499,0.679284697721841,0.17999937544534894,0.6799993754453489,0.9951720500061686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001697165770050839,0.02578153439943307,0.012859851490468359,0.033595518973757454,0.0033006591246866955,0.0020312601253008136,5.309726891364643e-05,6.526405256157906e-05,0.0010065737339320729,0.0010339327219719384,0.0017171946989390941,0.0032927186679603954,0.0006513629366651434,0.0007962885397840307,8.827966477635134e-07,3.84690111537545e-06
22,1.0,0.58,0.68,0.18,0.68,0.15064288876500811,0.4259680509567261,245.81320482658327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6794664298927969,0.5800294470505618,0.6795960558408102,0.17999964730267037,0.6799996473026704,0.9969044131476348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007748631808796331,0.024914956877050365,0.014873879143793413,0.032431409714973214,0.0021644659177553695,0.0009842577357753958,5.911987386486016e-05,6.0254238701544556e-05,0.0009223025891712058,0.0008665775223827034,0.0020140276533250536,0.0011641092587842405,0.001136193206931326,0.0010470023895254178,6.022604951213734e-06,5.009813860034506e-06
23,1.0,0.58,0.68,0.18,0.68,0.14649679167956023,0.4159722328186035,245.80883696169437,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6796986826810165,0.580016629283092,0.6797718854130264,0.17999980082542638,0.6799998008254264,0.9980151704195818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023302953955123317,0.026099834986553674,0.01241280489429537,0.030071615562564328,0.0024724973601057037,0.0007912622245935005,5.613432355574176e-05,5.849752303084025e-05,0.0015554322146326986,0.0011848781095033095,0.0024610742494980426,0.002359794152408886,0.00030803144235033416,0.00019299551118189527,2.9855503091184032e-06,1.756715670704307e-06
24,1.0,0.58,0.68,0.18,0.68,0.1076611201149151,0.33519989252090454,245.80637038352745,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6798298405032879,0.580009390857518,0.6798711795588417,0.17999988752250884,0.6799998875225088,0.9987273661986602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407595960956551,0.02338843371773502,0.008064557135894549,0.020095241471722262,0.0012824174621843506,0.0007381797970987723,5.868315508075256e-05,6.244926334641748e-05,0.005077300565444219,0.0027114012688186535,0.004348247758400821,0.009976374090842066,0.001190079897921353,5.308242749472818e-05,2.548831525010804e-06,3.95174031557723e-06
25,1.0,0.58,0.68,0.18,0.68,0.09302054922119476,0.30004382133483887,245.8049774730726,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6799039078135362,0.5800053031874216,0.6799272527623929,0.17999993648192242,0.6799999364819225,0.9991840121649279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011890388654996755,0.020138056533356086,0.006805721457922204,0.01856997963367468,0.0016743268124657946,0.0005724281731227471,5.775949392243172e-05,6.244404169665203e-05,0.004482792694040204,0.0032503771843789345,0.0012588356779723447,0.0015252618380475827,0.000391909350281444,0.00016575162397602526,9.236611583208384e-07,5.2216497654472e-09
26,1.0,0.58,0.68,0.18,0.68,0.07376477135302967,0.22970521450042725,245.80419087478367,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6799457349925235,0.5800029948060413,0.6799589183165973,0.1799999641301905,0.6799999641301906,0.9994768046029544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012184648679541294,0.01807790571323554,0.006437984471110135,0.0141419576121768,0.0011820034916620978,0.00042556834551753584,6.010441230419522e-05,6.353930459482221e-05,0.0002942600245445393,0.002060150820120548,0.00036773698681206914,0.004428022021497878,0.0004923233208036968,0.00014685982760521125,2.3449183817634967e-06,1.0952628981701818e-06
